season,player_name,name_key,position,team,ecr,ecr_sd,best,worst,ecr_rank,pos_rank,scrape_date,proj_ppg,proj_games,proj_points,replacement_rank,replacement_ppg,replacement_points,VORP,vorp_ppg,is_streamed,adp_rank,ffc_adp,adp_sd,bye
2026,Jahmyr Gibbs,jahmyr gibbs,RB,DET,2.93,1.6,1.0,7.0,2,1,2026-08-21,17.480024018810752,14.506575469134702,253.57528763116545,28,9.217244954749557,127.0929008726215,126.48238675854395,8.262779064061196,False,2,1.5,0.7,6.0
2026,Bijan Robinson,bijan robinson,RB,ATL,3.71,1.48,1.0,5.0,4,2,2026-08-21,16.832825347881716,14.506575469134702,244.1866512678097,28,9.217244954749557,127.0929008726215,117.09375039518821,7.615580393132159,False,4,2.3,0.6,11.0
2026,Christian McCaffrey,christian mccaffrey,RB,SF,10.22,5.06,5.0,31.0,9,3,2026-08-21,16.19329383320852,14.506575469134702,234.909239085313,28,9.217244954749557,127.0929008726215,107.8163382126915,6.976048878458965,False,9,6.5,1.5,8.0
2026,Josh Allen,josh allen,QB,BUF,25.9,2.75,21.0,37.0,27,1,2026-08-21,20.73520807280832,16.37938027428855,339.6298580910253,12,17.13447293279512,238.13776965069272,101.4920884403326,3.6007351400131995,False,27,33.0,7.2,7.0
2026,Jonathan Taylor,jonathan taylor,RB,IND,12.69,6.26,7.0,33.0,11,4,2026-08-21,15.622726703764773,14.506575469134702,226.6322639618297,28,9.217244954749557,127.0929008726215,99.5393630892082,6.405481749015216,False,11,6.0,1.6,13.0
2026,Ashton Jeanty,ashton jeanty,RB,LV,16.62,5.62,7.0,34.0,13,5,2026-08-21,15.113386465857241,14.506575469134702,219.24348136115708,28,9.217244954749557,127.0929008726215,92.15058048853558,5.896141511107684,False,13,14.8,3.3,13.0
2026,Ja'Marr Chase,ja marr chase,WR,CIN,1.51,0.98,1.0,6.0,1,1,2026-08-21,15.48277562085239,14.714492457776768,227.82118509848252,28,9.70410835216612,140.31628944882755,87.50489564965497,5.77866726868627,False,1,3.9,1.0,6.0
2026,James Cook III,james cook,RB,BUF,17.7,7.39,7.0,34.0,15,6,2026-08-21,14.653919813119705,14.506575469134702,212.57819368766928,28,9.217244954749557,127.0929008726215,85.48529281504779,5.436674858370148,False,15,9.3,1.7,7.0
2026,Puka Nacua,puka nacua,WR,LAR,3.47,1.55,1.0,9.0,3,2,2026-08-21,15.279311823906678,14.714492457776768,224.8273185928942,28,9.70410835216612,140.31628944882755,84.51102914406664,5.575203471740558,False,3,3.1,0.6,11.0
2026,Lamar Jackson,lamar jackson,QB,BAL,33.52,10.92,25.0,70.0,31,2,2026-08-21,20.73520807280832,15.360828270134547,318.50997035191614,12,17.13447293279512,238.13776965069272,80.37220070122342,3.6007351400131995,False,31,55.6,10.0,13.0
