policy,replicate,slot,rank,wins,points_for
need_adp,0,0,3,9,1500.52001953125
season_sim,0,0,3,8,1505.47998046875
oracle,0,0,12,4,1292.679931640625
need_adp,1,1,6,7,1470.419921875
season_sim,1,1,12,4,1250.679931640625
oracle,1,1,4,8,1499.080078125
need_adp,2,2,2,8,1502.06005859375
season_sim,2,2,8,6,1449.9599609375
oracle,2,2,4,9,1432.22021484375
need_adp,3,3,7,6,1378.940185546875
season_sim,3,3,9,5,1379.5198974609375
oracle,3,3,10,5,1316.280029296875
need_adp,4,4,2,10,1330.9400634765625
season_sim,4,4,5,8,1345.5799560546875
oracle,4,4,7,7,1322.380126953125
need_adp,5,5,2,10,1570.3800048828125
season_sim,5,5,5,8,1377.0201416015625
oracle,5,5,7,6,1416.02001953125
need_adp,6,6,6,6,1488.6800537109375
season_sim,6,6,6,7,1424.639892578125
oracle,6,6,9,6,1387.139892578125
need_adp,7,7,2,9,1490.5198974609375
season_sim,7,7,7,7,1539.6400146484375
oracle,7,7,9,6,1373.139892578125
need_adp,8,8,5,7,1564.35986328125
season_sim,8,8,9,5,1383.9200439453125
oracle,8,8,8,6,1413.0999755859375
need_adp,9,9,7,6,1443.3599853515625
season_sim,9,9,8,6,1411.1199951171875
oracle,9,9,5,8,1437.5
