policy,replicate,slot,rank,wins,points_for
need_adp,0,0,3,9,1547.300048828125
season_sim,0,0,4,9,1430.9600830078125
need_adp,1,1,1,11,1604.60009765625
season_sim,1,1,1,11,1620.219970703125
need_adp,2,2,1,9,1436.1600341796875
season_sim,2,2,1,12,1621.9998779296875
need_adp,3,3,1,10,1662.119873046875
season_sim,3,3,1,11,1527.8798828125
need_adp,4,4,4,9,1599.1201171875
season_sim,4,4,2,9,1623.0
need_adp,5,5,1,10,1463.97998046875
season_sim,5,5,1,12,1598.179931640625
need_adp,6,6,6,7,1454.4200439453125
season_sim,6,6,8,6,1399.5599365234375
need_adp,7,7,7,8,1444.47998046875
season_sim,7,7,1,12,1690.760009765625
need_adp,8,8,4,8,1490.760009765625
season_sim,8,8,1,10,1625.860107421875
need_adp,9,9,1,11,1615.0999755859375
season_sim,9,9,1,12,1692.6199951171875
need_adp,10,10,5,8,1571.5201416015625
season_sim,10,10,3,9,1491.97998046875
need_adp,11,11,5,8,1505.320068359375
season_sim,11,11,9,6,1487.02001953125
need_adp,12,0,7,8,1377.7999267578125
season_sim,12,0,2,11,1611.419921875
need_adp,13,1,1,11,1530.260009765625
season_sim,13,1,4,8,1495.2799072265625
need_adp,14,2,8,6,1580.4197998046875
season_sim,14,2,6,7,1508.5999755859375
need_adp,15,3,1,12,1586.780029296875
season_sim,15,3,7,6,1403.02001953125
need_adp,16,4,4,8,1614.9000244140625
season_sim,16,4,2,9,1596.52001953125
need_adp,17,5,2,11,1633.260009765625
season_sim,17,5,3,8,1562.3798828125
need_adp,18,6,2,10,1481.9599609375
season_sim,18,6,4,8,1457.33984375
need_adp,19,7,4,9,1334.10009765625
season_sim,19,7,1,13,1403.4801025390625
need_adp,20,8,5,8,1454.7999267578125
season_sim,20,8,3,9,1494.89990234375
need_adp,21,9,5,7,1463.8001708984375
season_sim,21,9,5,8,1354.8599853515625
need_adp,22,10,1,12,1707.6400146484375
season_sim,22,10,6,8,1552.099853515625
need_adp,23,11,3,9,1403.719970703125
season_sim,23,11,3,9,1503.6800537109375
need_adp,24,0,1,12,1497.300048828125
season_sim,24,0,2,9,1625.3199462890625
need_adp,25,1,2,10,1631.4200439453125
season_sim,25,1,1,10,1702.760009765625
need_adp,26,2,4,8,1525.419921875
season_sim,26,2,5,7,1553.7000732421875
need_adp,27,3,1,11,1589.080078125
season_sim,27,3,2,11,1600.0999755859375
need_adp,28,4,5,8,1431.9599609375
season_sim,28,4,1,12,1581.619873046875
need_adp,29,5,6,7,1403.900146484375
season_sim,29,5,3,8,1614.47998046875
need_adp,30,6,1,11,1545.340087890625
season_sim,30,6,6,7,1362.7200927734375
need_adp,31,7,8,6,1352.820068359375
season_sim,31,7,10,5,1253.97998046875
need_adp,32,8,4,7,1518.7598876953125
season_sim,32,8,5,8,1371.9600830078125
need_adp,33,9,8,6,1411.0399169921875
season_sim,33,9,7,7,1424.6600341796875
need_adp,34,10,2,10,1537.3399658203125
season_sim,34,10,1,12,1714.380126953125
need_adp,35,11,2,9,1472.4798583984375
season_sim,35,11,1,9,1614.2999267578125
need_adp,36,0,3,10,1469.2598876953125
season_sim,36,0,5,8,1426.820068359375
need_adp,37,1,1,10,1474.580078125
season_sim,37,1,4,7,1447.1600341796875
need_adp,38,2,3,9,1554.02001953125
season_sim,38,2,1,11,1658.719970703125
need_adp,39,3,3,9,1713.60009765625
season_sim,39,3,4,8,1422.1800537109375
need_adp,40,4,1,11,1575.81982421875
season_sim,40,4,3,9,1552.83984375
need_adp,41,5,5,8,1521.5198974609375
season_sim,41,5,7,7,1447.179931640625
need_adp,42,6,7,7,1591.43994140625
season_sim,42,6,8,6,1398.6199951171875
need_adp,43,7,6,7,1445.119873046875
season_sim,43,7,3,9,1402.1199951171875
need_adp,44,8,1,12,1604.739990234375
season_sim,44,8,7,7,1395.199951171875
need_adp,45,9,3,9,1477.1199951171875
season_sim,45,9,1,10,1584.4600830078125
need_adp,46,10,3,9,1605.1199951171875
season_sim,46,10,2,11,1505.1199951171875
need_adp,47,11,1,11,1538.5999755859375
season_sim,47,11,1,12,1552.1600341796875
need_adp,48,0,3,9,1462.320068359375
season_sim,48,0,3,8,1464.5599365234375
need_adp,49,1,2,10,1427.840087890625
season_sim,49,1,1,8,1697.119873046875
need_adp,50,2,3,11,1588.8001708984375
season_sim,50,2,3,9,1385.2601318359375
need_adp,51,3,4,8,1427.3599853515625
season_sim,51,3,2,9,1558.219970703125
need_adp,52,4,5,7,1516.4599609375
season_sim,52,4,9,7,1432.419921875
need_adp,53,5,7,6,1447.260009765625
season_sim,53,5,9,5,1444.39990234375
need_adp,54,6,1,12,1580.0
season_sim,54,6,1,12,1700.52001953125
need_adp,55,7,10,4,1303.1199951171875
season_sim,55,7,7,7,1382.7799072265625
need_adp,56,8,8,6,1506.60009765625
season_sim,56,8,1,12,1540.4798583984375
need_adp,57,9,2,10,1510.919921875
season_sim,57,9,3,8,1354.6600341796875
need_adp,58,10,2,10,1610.6199951171875
season_sim,58,10,1,10,1506.199951171875
need_adp,59,11,4,9,1467.820068359375
season_sim,59,11,1,12,1395.7799072265625
need_adp,60,0,3,9,1478.6199951171875
season_sim,60,0,3,8,1509.5799560546875
need_adp,61,1,2,10,1556.10009765625
season_sim,61,1,9,6,1281.0401611328125
need_adp,62,2,1,10,1429.89990234375
season_sim,62,2,2,11,1717.5001220703125
need_adp,63,3,1,12,1745.43994140625
season_sim,63,3,1,10,1699.400146484375
need_adp,64,4,2,11,1644.4000244140625
season_sim,64,4,4,10,1504.3399658203125
need_adp,65,5,8,7,1297.7799072265625
season_sim,65,5,1,10,1609.419921875
need_adp,66,6,3,9,1555.699951171875
season_sim,66,6,2,9,1561.360107421875
need_adp,67,7,1,12,1673.1600341796875
season_sim,67,7,1,13,1697.2999267578125
need_adp,68,8,3,10,1410.1800537109375
season_sim,68,8,5,9,1370.6201171875
need_adp,69,9,1,13,1690.68017578125
season_sim,69,9,1,11,1623.4200439453125
need_adp,70,10,1,12,1427.56005859375
season_sim,70,10,2,9,1454.1202392578125
need_adp,71,11,3,9,1700.6199951171875
season_sim,71,11,3,10,1659.7000732421875
need_adp,72,0,2,10,1543.1201171875
season_sim,72,0,2,9,1481.9400634765625
need_adp,73,1,1,11,1520.0
season_sim,73,1,2,10,1573.820068359375
need_adp,74,2,3,10,1510.2200927734375
season_sim,74,2,1,9,1565.919921875
need_adp,75,3,3,9,1548.93994140625
season_sim,75,3,3,9,1469.659912109375
need_adp,76,4,9,5,1363.2200927734375
